dose_g,roast,grinder,grinder_setting,bed_height_cm,brew_temp_C,final_coffee_temp_C,final_tds_pct,ambient_temp_C,dripper_mass_g,dripper_cp_J_gK,lambda_liquid_dripper,lambda_dripper_ambient,lambda_server_ambient,time_mmss,time_s,poured_weight_g,drained_volume_ml,retained_mass_g,phase,use_for_fit,notes
20,light,Kinu,29,5.3,92.0,,1.36,23.0,224.1,0.88,0.02,0.004,0.0,00:00,0,0.0,0.0,0.0,start,1,4/12 Kinu29 measured case start
20,light,Kinu,29,5.3,92.0,,,23.0,123.5,0.88,0.02,0.004,0.0,00:05,5,32.7,5.0,27.7,bloom_first_drip,1,first drip observed
20,light,Kinu,29,5.3,92.0,,,23.0,123.5,0.88,0.02,0.004,0.0,00:10,10,42.8,20.0,22.8,bloom_pause,1,bloom pause
20,light,Kinu,29,5.3,92.0,,,23.0,123.5,0.88,0.02,0.004,0.0,00:15,15,42.8,20.0,22.8,bloom_drain,1,
20,light,Kinu,29,5.3,92.0,,,23.0,123.5,0.88,0.02,0.004,0.0,00:20,20,42.8,20.0,22.8,bloom_drain,1,
20,light,Kinu,29,5.3,92.0,,,23.0,123.5,0.88,0.02,0.004,0.0,00:25,25,42.8,20.0,22.8,bloom_drain,1,
20,light,Kinu,29,5.3,92.0,,,23.0,123.5,0.88,0.02,0.004,0.0,00:30,30,42.8,20.0,22.8,bloom_end,1,
20,light,Kinu,29,5.3,92.0,,,23.0,123.5,0.88,0.02,0.004,0.0,00:35,35,46.4,30.0,16.4,pour_2_start,1,second pour start
20,light,Kinu,29,5.3,92.0,,,23.0,123.5,0.88,0.02,0.004,0.0,00:40,40,80.6,45.0,35.6,pour_2_rise,1,
20,light,Kinu,29,5.3,92.0,,,23.0,123.5,0.88,0.02,0.004,0.0,00:45,45,103.5,60.0,43.5,pour_2_end,1,
20,light,Kinu,29,5.3,92.0,,,23.0,123.5,0.88,0.02,0.004,0.0,00:50,50,103.4,70.0,33.4,pause_1,1,
20,light,Kinu,29,5.3,92.0,,,23.0,123.5,0.88,0.02,0.004,0.0,00:55,55,103.4,75.0,28.4,pause_1,1,
20,light,Kinu,29,5.3,92.0,,,23.0,123.5,0.88,0.02,0.004,0.0,01:00,60,123.5,90.0,33.5,pour_3_start,1,third pour start
20,light,Kinu,29,5.3,92.0,,,23.0,123.5,0.88,0.02,0.004,0.0,01:05,65,155.1,110.0,45.1,pour_3_rise,1,
20,light,Kinu,29,5.3,92.0,,,23.0,123.5,0.88,0.02,0.004,0.0,01:10,70,159.6,125.0,34.6,pour_3_end,1,
20,light,Kinu,29,5.3,92.0,,,23.0,123.5,0.88,0.02,0.004,0.0,01:15,75,159.5,135.0,24.5,pause_2,1,
20,light,Kinu,29,5.3,92.0,,,23.0,123.5,0.88,0.02,0.004,0.0,01:20,80,178.4,150.0,28.4,pour_4_start,1,fourth pour start
20,light,Kinu,29,5.3,92.0,,,23.0,123.5,0.88,0.02,0.004,0.0,01:25,85,217.9,175.0,42.9,pour_4_rise,1,
20,light,Kinu,29,5.3,92.0,,,23.0,123.5,0.88,0.02,0.004,0.0,01:30,90,218.8,185.0,33.8,pour_4_end,1,
20,light,Kinu,29,5.3,92.0,,,23.0,123.5,0.88,0.02,0.004,0.0,01:35,95,218.7,190.0,28.7,pause_3,1,
20,light,Kinu,29,5.3,92.0,,,23.0,123.5,0.88,0.02,0.004,0.0,01:40,100,218.7,195.0,23.7,pause_3,1,
20,light,Kinu,29,5.3,92.0,,,23.0,123.5,0.88,0.02,0.004,0.0,01:45,105,247.9,220.0,27.9,pour_5_start,1,fifth pour start
20,light,Kinu,29,5.3,92.0,,,23.0,123.5,0.88,0.02,0.004,0.0,01:50,110,295.4,260.0,35.4,pour_5_rise,1,
20,light,Kinu,29,5.3,92.0,,,23.0,123.5,0.88,0.02,0.004,0.0,01:55,115,302.9,280.0,22.9,pour_5_end,1,final pour end
20,light,Kinu,29,5.3,92.0,,,23.0,123.5,0.88,0.02,0.004,0.0,02:00,120,302.8,290.0,12.8,drawdown,1,
20,light,Kinu,29,5.3,92.0,,,23.0,123.5,0.88,0.02,0.004,0.0,02:05,125,302.8,300.0,2.8,drawdown,1,
20,light,Kinu,29,5.3,92.0,,,23.0,123.5,0.88,0.02,0.004,0.0,02:10,130,302.8,310.0,-7.2,flow_stop_visual,1,visual flow stop
