bin_index,d_lo_mm,d_hi_mm,d_mid_mm,particle_count,num_fraction,area_fraction,volume_fraction,diameter_eq_mean_mm,diameter_eq_median_mm,aspect_ratio_mean,roundness_mean,surface_to_volume_mm_inv_mean,shell_accessibility_mean,shell_accessibility_volume_weighted
1,0.25,0.4,0.325,101,0.05203503348789284,0.0012176267126217625,0.0001267941547077613,0.31387199171936103,0.31915382432114614,1.662237007910403,0.7825696708099391,7.963834075066689,1.0,1.0
2,0.4,0.55,0.47500000000000003,114,0.05873261205564142,0.00315330180031533,0.0004577141273946912,0.4780376180321662,0.47873073648171927,1.8572161631468826,0.609800574489593,5.640981313866094,0.9933398355808777,0.9917873691113065
3,0.55,0.75,0.65,167,0.08603812467800102,0.008618108263361809,0.0017339686428606588,0.6533063704575195,0.6579524642479541,1.8333019714128207,0.6192452707729837,4.101343854234047,0.9404253098403342,0.9339671625726725
4,0.75,1.0,0.875,236,0.12158681092220505,0.02213727862721373,0.006115908663678847,0.8816901986599985,0.8812923024107547,1.72354044303354,0.649149061434349,2.945842639891191,0.8372914187751471,0.8305794030576044
5,1.0,1.4,1.2,472,0.2431736218444101,0.08068419315806842,0.030150667659015785,1.1882370657339774,1.1834540545406393,1.6830652138637938,0.653253750874582,2.16434052006981,0.7100329335460211,0.6992743285508124
6,1.4,2.0,1.7,361,0.1859866048428645,0.11781798848678178,0.056972505303800935,1.6401493916326915,1.5957691216057308,1.9968498911417525,0.5707969828129569,1.703498561648735,0.5707886876593165,0.5577433877402241
7,2.0,3.0,2.5,223,0.11488923235445647,0.1594754885784475,0.10990719369529388,2.4253255151935584,2.4016192740836937,2.0990079153974937,0.526620942080471,1.1908074121624055,0.4212990567630956,0.4086113014121389
