dose_g,roast,grinder,grinder_setting,bed_height_cm,brew_temp_C,ambient_temp_C,final_coffee_temp_C,final_tds_pct,dripper_mass_g,dripper_cp_J_gK,lambda_liquid_dripper,lambda_dripper_ambient,lambda_server_ambient,time_mmss,time_s,poured_weight_g,drained_volume_ml,estimated_server_volume_ml,server_temp_C,outflow_temp_C,use_for_fit,server_temp_use_for_fit,outflow_temp_use_for_fit,phase,notes
20,light,Kinu,28,5.3,92.0,23.3,,1.60,123.5,0.88,0.02,0.004,0.0,00:00,0,0.0,0.0,0.0,23.3,25.0,1,0,0,start,4/20 Kinu28 thermal case start
20,light,Kinu,28,5.3,92.0,23.3,,,123.5,0.88,0.02,0.004,0.0,00:05,5,13.3,2.0,2.0,23.3,25.1,1,0,1,bloom_first_drip,first drip observed
20,light,Kinu,28,5.3,92.0,23.3,,,123.5,0.88,0.02,0.004,0.0,00:10,10,43.8,15.0,15.0,38.8,44.9,1,1,1,bloom_rise,
20,light,Kinu,28,5.3,92.0,23.3,,,123.5,0.88,0.02,0.004,0.0,00:15,15,43.8,15.0,15.0,43.2,67.5,1,1,1,bloom_drain,
20,light,Kinu,28,5.3,92.0,23.3,,,123.5,0.88,0.02,0.004,0.0,00:20,20,43.8,15.0,15.0,41.9,73.1,1,1,1,bloom_drain,
20,light,Kinu,28,5.3,92.0,23.3,,,123.5,0.88,0.02,0.004,0.0,00:25,25,43.7,15.0,15.0,43.9,73.3,1,1,1,bloom_drain,
20,light,Kinu,28,5.3,92.0,23.3,,,123.5,0.88,0.02,0.004,0.0,00:30,30,43.7,15.0,15.0,47.4,75.8,1,1,1,bloom_drain,
20,light,Kinu,28,5.3,92.0,23.3,,,123.5,0.88,0.02,0.004,0.0,00:35,35,43.7,15.0,15.0,47.1,75.8,1,1,1,bloom_end,held until water dropped below bed
20,light,Kinu,28,5.3,92.0,23.3,,,123.5,0.88,0.02,0.004,0.0,00:40,40,58.6,30.0,30.0,47.8,77.4,1,1,1,pour_2_start,second pour start
20,light,Kinu,28,5.3,92.0,23.3,,,123.5,0.88,0.02,0.004,0.0,00:45,45,85.8,50.0,50.0,48.7,77.1,1,1,1,pour_2_rise,
20,light,Kinu,28,5.3,92.0,23.3,,,123.5,0.88,0.02,0.004,0.0,00:50,50,99.4,65.0,65.0,53.7,79.5,1,1,1,pour_2_end,
20,light,Kinu,28,5.3,92.0,23.3,,,123.5,0.88,0.02,0.004,0.0,00:55,55,99.4,70.0,70.0,54.6,81.1,1,1,1,pause_1,
20,light,Kinu,28,5.3,92.0,23.3,,,123.5,0.88,0.02,0.004,0.0,01:00,60,103.4,80.0,80.0,58.4,82.5,1,1,1,pour_3_start,third pour start
20,light,Kinu,28,5.3,92.0,23.3,,,123.5,0.88,0.02,0.004,0.0,01:05,65,128.4,100.0,100.0,57.5,83.2,1,1,1,pour_3_rise,
20,light,Kinu,28,5.3,92.0,23.3,,,123.5,0.88,0.02,0.004,0.0,01:10,70,160.6,125.0,125.0,63.3,83.1,1,1,1,pour_3_end,
20,light,Kinu,28,5.3,92.0,23.3,,,123.5,0.88,0.02,0.004,0.0,01:15,75,160.6,140.0,140.0,66.1,84.5,1,1,1,pause_2,
20,light,Kinu,28,5.3,92.0,23.3,,,123.5,0.88,0.02,0.004,0.0,01:20,80,160.5,145.0,145.0,65.2,85.5,1,1,1,pause_2,
20,light,Kinu,28,5.3,92.0,23.3,,,123.5,0.88,0.02,0.004,0.0,01:25,85,206.1,180.0,180.0,65.3,85.3,1,1,1,pour_4_start,fourth pour start
20,light,Kinu,28,5.3,92.0,23.3,,,123.5,0.88,0.02,0.004,0.0,01:30,90,220.4,195.0,195.0,63.6,86.8,1,1,1,pour_4_end,
20,light,Kinu,28,5.3,92.0,23.3,,,123.5,0.88,0.02,0.004,0.0,01:35,95,220.4,205.0,205.0,68.9,86.8,1,1,1,pause_3,
20,light,Kinu,28,5.3,92.0,23.3,,,123.5,0.88,0.02,0.004,0.0,01:40,100,239.1,225.0,225.0,67.7,86.8,1,1,1,pour_5_start,fifth pour start
20,light,Kinu,28,5.3,92.0,23.3,,,123.5,0.88,0.02,0.004,0.0,01:45,105,278.6,255.0,255.0,72.9,87.8,1,1,1,pour_5_rise,
20,light,Kinu,28,5.3,92.0,23.3,,,123.5,0.88,0.02,0.004,0.0,01:50,110,301.4,265.0,265.0,73.7,88.1,1,1,1,pour_5_end,final pour end
20,light,Kinu,28,5.3,92.0,23.3,,,123.5,0.88,0.02,0.004,0.0,01:55,115,301.4,265.0,265.0,74.4,88.0,1,1,1,drawdown,
20,light,Kinu,28,5.3,92.0,23.3,,,123.5,0.88,0.02,0.004,0.0,02:00,120,301.3,265.0,265.0,74.5,88.3,1,1,1,flow_stop_visual,visual flow stop
