bin_index,d_lo_mm,d_hi_mm,d_mid_mm,particle_count,num_fraction,area_fraction,volume_fraction,diameter_eq_mean_mm,diameter_eq_median_mm,aspect_ratio_mean,roundness_mean,surface_to_volume_mm_inv_mean,shell_accessibility_mean,shell_accessibility_volume_weighted
1,0.25,0.4,0.325,110,0.05726184279021343,0.00163819548760078,0.00020468099466573722,0.3158624927234519,0.31915382432114614,1.5549090280991873,0.7858716619889742,7.797184751005634,1.0,1.0
2,0.4,0.55,0.47500000000000003,101,0.052576782925559604,0.003319256158608633,0.0005676680580381749,0.4719460660861288,0.47873073648171915,1.8245247329164946,0.6382821355577213,5.656432420980336,0.9944053720969209,0.9928457224717171
3,0.55,0.75,0.65,145,0.07548152004164498,0.008930867777682523,0.0021114031328852696,0.6460389116475128,0.6482044814428575,1.7105319741882963,0.6541481827140877,4.020532193908617,0.9433507851841941,0.9368753814378643
4,0.75,1.0,0.875,288,0.14992191566892243,0.033270837138394904,0.010973680028756688,0.8853678237683102,0.8884866446580956,1.631215842934622,0.6771464291798505,2.8620365786326505,0.8356879671551325,0.8274217473266273
5,1.0,1.4,1.2,533,0.27745965642894327,0.10914966658342123,0.047072702209591824,1.1776326417922958,1.1726460285670077,1.6446610192337299,0.6527958489877763,2.1707608094799538,0.7139434060498387,0.7028413436982516
6,1.4,2.0,1.7,308,0.1603331598125976,0.12575899330184917,0.07197737210041322,1.6615360976074072,1.642944866646031,1.8971267199210204,0.585207427284633,1.6426795673486252,0.5652297715613711,0.553790551963491
7,2.0,3.0,2.5,216,0.11244143675169183,0.19218139054654973,0.15454622202990687,2.448550791432417,2.4227271167054862,2.1881364528873872,0.5109390736081824,1.2068561289000588,0.4181825947067001,0.40371736405456055
