bin_index,d_lo_mm,d_hi_mm,d_mid_mm,particle_count,num_fraction,area_fraction,volume_fraction,diameter_eq_mean_mm,diameter_eq_median_mm,aspect_ratio_mean,roundness_mean,surface_to_volume_mm_inv_mean,shell_accessibility_mean,shell_accessibility_volume_weighted
1,0.25,0.4,0.325,602,0.13219148001756698,0.014943228200371058,0.004445257406479359,0.3229895876500359,0.31915382432114614,1.1948695796851316,0.9406076073037027,6.772729080432564,1.0,1.0
2,0.4,0.55,0.47500000000000003,718,0.15766359244620115,0.03853061224489796,0.015655374375474762,0.47802268174199414,0.47873073648171915,1.3314501262684113,0.8096455802068357,4.812228835038695,0.993726425341988,0.9922713755510598
3,0.55,0.75,0.65,1179,0.25889328063241107,0.1157165120593692,0.06216336450565866,0.6462101100574936,0.6482044814428575,1.3715141739765875,0.7787331000170917,3.612235013174027,0.9433180246934371,0.9372741165490753
4,0.75,1.0,0.875,821,0.18028107158541942,0.14375064935064935,0.09660249443451435,0.8636630384727502,0.8519075891779829,1.5732803533232724,0.6854023857175188,2.889469995168631,0.8456429759876235,0.8379099958744064
5,1.0,1.4,1.2,659,0.14470794905577514,0.21207272727272727,0.18072938479302067,1.1694263881876181,1.1507254783503185,1.8358184397468995,0.599811059815845,2.3029705538258387,0.7171348568734266,0.705489108439229
6,1.4,2.0,1.7,417,0.09156785243741765,0.2675769944341373,0.3087882145752189,1.650319670035339,1.6312788383647014,1.998824885162734,0.5462504418059734,1.7082989969517979,0.5680800107568144,0.5553590421793989
7,2.0,3.0,2.5,150,0.03293807641633729,0.18584638218923935,0.28931978849916373,2.292967071065262,2.2411853670230744,2.0756308309039313,0.5206705572326048,1.2529121076663152,0.44023030784112377,0.42995562612316773
