case_label,weight_mode,early_t2_rmse_C,late_t2_rmse_C,early_t2_mean_residual_C,late_t2_mean_residual_C,early_delta_vs_effluent_C,late_delta_vs_effluent_C,h4_status
kinu28 4:20,effluent,20.528642863967686,6.615594475777667,16.35777774047211,-4.370180106293919,0.0,0.0,baseline
kinu28 4:20,liq_transport_gate,18.632910410714906,8.509701903266317,12.421364502788803,-6.755010130319537,-1.89573245325278,1.8941074274886498,partial
kinu28 4:20,liq_transport_release_after25,18.632910410714906,7.588649234357088,12.421364502788803,-5.736747065225192,-1.89573245325278,0.9730547585794209,supported
kinu28 4:20,liq_transport_release_on_pour,18.632910410714906,8.509701903266317,12.421364502788803,-6.755010130319537,-1.89573245325278,1.8941074274886498,partial
kinu28 4:20,liq_transport_release_between_pours,18.632910410714906,7.260302164477451,12.421364502788803,-5.448040683845832,-1.89573245325278,0.6447076886997838,supported
kinu28 4:20,head_gate,18.049856536077748,15.118350592789488,-0.5970697828552763,-12.953109008039755,-2.4787863278899387,8.50275611701182,partial
kinu28 4:20,q_bed_transport_norm,21.990627753231884,15.321913611319173,1.9090360694865656,-13.180995899221225,1.4619848892641976,8.706319135541506,not_supported
kinu29 4:12,effluent,15.018423874713443,7.844408660299965,9.907047715089504,-4.683280746288016,0.0,0.0,baseline
kinu29 4:12,liq_transport_gate,13.003949709739002,9.86266838538744,5.818887051560139,-6.723155274535372,-2.014474164974441,2.018259725087475,partial
kinu29 4:12,liq_transport_release_after25,13.003949709739002,9.32226729349204,5.818887051560139,-6.0461836549464785,-2.014474164974441,1.4778586331920742,partial
kinu29 4:12,liq_transport_release_on_pour,13.003949709739002,9.86266838538744,5.818887051560139,-6.723155274535372,-2.014474164974441,2.018259725087475,partial
kinu29 4:12,liq_transport_release_between_pours,13.003949709739002,8.991481813632223,5.818887051560139,-5.730495733407977,-2.014474164974441,1.1470731533322578,partial
kinu29 4:12,head_gate,15.91265151812694,14.741861344105772,-7.188803652942522,-10.885311793302348,0.8942276434134975,6.897452683805806,not_supported
kinu29 4:12,q_bed_transport_norm,17.747092865637285,17.137056268776828,-5.376248198653151,-13.026330763291153,2.7286689909238415,9.292647608476862,not_supported
kinu29 4:11,effluent,3.906165313680133,6.448669660348708,2.6085545707849036,1.4416776987576156,0.0,0.0,baseline
kinu29 4:11,liq_transport_gate,3.578446570825122,7.417256810513615,-0.7935413187976555,-0.3322930187029485,-0.32771874285501124,0.9685871501649075,not_supported
kinu29 4:11,liq_transport_release_after25,3.578446570825122,7.317884800641603,-0.7935413187976555,0.06394624196286891,-0.32771874285501124,0.8692151402928951,not_supported
kinu29 4:11,liq_transport_release_on_pour,3.578446570825122,7.417256810513615,-0.7935413187976555,-0.3322930187029485,-0.32771874285501124,0.9685871501649075,not_supported
kinu29 4:11,liq_transport_release_between_pours,3.578446570825122,6.869084349703503,-0.7935413187976555,0.8307842083617807,-0.32771874285501124,0.42041468935479465,not_supported
kinu29 4:11,head_gate,10.776710115306404,10.776976772622357,-9.037838369686334,-3.3935176156306905,6.870544801626271,4.328307112273649,not_supported
kinu29 4:11,q_bed_transport_norm,12.913489543465655,11.990465848402623,-11.59878933125785,-4.496763268708435,9.007324229785521,5.541796188053915,not_supported
