param,factor,value,delta_loss,rmse_ml,velocity_rmse_mlps,drain_time_error_s
k,0.7,5.66444253135061e-11,14.985998944294671,20.01205691092061,1.2453278746391385,17.153594930224216
k,0.85,6.878251645211455e-11,4.492930838579127,14.782850382495106,1.2385027394986776,6.8886095543222154
k,1.0,8.092060759072301e-11,0.0,13.799565488407918,1.2314351879098473,0.0833818781521245
k,1.15,9.305869872933145e-11,3.526609183093189,15.103154581809815,1.2398091433817735,-4.392730172369369
k,1.3,1.0519678986793991e-10,6.9105829284001565,16.92257970988149,1.2716309005221742,-7.344348566747328
k_beta,0.7,1647.2248590149545,0.5366013141386325,13.906120532282648,1.22942351880891,-0.9534836142492509
k_beta,0.85,2000.201614518159,0.2416795443308306,13.8719723949752,1.2306196897576214,-0.4275438304679824
k_beta,1.0,2353.1783700213637,0.0,13.799565488407918,1.2314351879098473,0.0833818781521245
k_beta,1.15,2706.155125524568,0.20367453416081105,13.741609492688474,1.2321366364176551,0.5995813987907184
k_beta,1.3,3059.131881027773,0.44364188424265727,13.708620277163277,1.2328090550883284,1.1336046637592858
wetbed_rev_gain,0.7,0.84,3.0622710296011775,14.9831753699101,1.2341730795904071,-3.74113821892729
wetbed_rev_gain,0.85,1.02,1.330467603409982,14.207364563550254,1.2293876070357455,-1.9088885819298866
wetbed_rev_gain,1.0,1.2,0.0,13.799565488407918,1.2314351879098473,0.0833818781521245
wetbed_rev_gain,1.15,1.38,1.0056696950592503,13.745322783855746,1.2349017599160923,2.160360660859311
wetbed_rev_gain,1.3,1.56,2.432840431143074,14.058268662890052,1.2378808531346221,4.327222683276489
sat_rel_perm_residual,0.7,0.126,-0.012681793036472655,13.787497005005632,1.2310474214287854,0.08124448670008633
sat_rel_perm_residual,0.85,0.153,-0.0007283837712463992,13.798710051979404,1.2312529952654594,0.08349890638530155
sat_rel_perm_residual,1.0,0.18,0.0,13.799565488407918,1.2314351879098473,0.0833818781521245
sat_rel_perm_residual,1.15,0.207,-0.0008658696502266139,13.808829384232679,1.2308326394331726,0.06571177618803858
sat_rel_perm_residual,1.3,0.23399999999999999,0.018746217646823382,13.824716999716058,1.2310223351421157,0.07443332700967176
sat_rel_perm_exp,0.7,2.0999999999999996,-0.07517351367626546,13.727412479835438,1.2310240382020372,0.07282760769905394
sat_rel_perm_exp,0.85,2.55,-0.01819394766011939,13.776443712766373,1.2314876951696703,0.09140806756647635
sat_rel_perm_exp,1.0,3.0,0.0,13.799565488407918,1.2314351879098473,0.0833818781521245
sat_rel_perm_exp,1.15,3.4499999999999997,0.016975096531135492,13.824185058376326,1.2311603460407323,0.06767772227490809
sat_rel_perm_exp,1.3,3.9000000000000004,0.052584174648739435,13.851041868318973,1.2313210183824082,0.06899038788509415
