param,factor,value,delta_loss,rmse_ml,velocity_rmse_mlps,drain_time_error_s,cup_temp_error_C
lambda_cool,0.7,0.00025899999999999995,-0.015188541603057715,13.808008988669542,1.2310675596719773,-0.0021367472803319743,0.05905255074640081
lambda_cool,0.85,0.0003145,0.005689579939415879,13.805383354523729,1.2311551426848282,0.06491731853574834,0.035784329368013346
lambda_cool,1.0,0.00037,0.0,13.799565488407918,1.2314351879098473,0.0833818781521245,0.009599829802596105
lambda_cool,1.15,0.00042549999999999993,0.010278166742249795,13.803764313780578,1.2314893956252968,0.09721466964461456,-0.011950082079991375
lambda_cool,1.3,0.00048100000000000004,0.022918602350909367,13.794581419622935,1.2313656801730246,0.12480057355216445,-0.03684085828055572
lambda_liquid_dripper,0.7,0.03472427506354802,0.19398023524501617,13.798810367993719,1.2345751817265063,0.15768078880088865,0.44633679517214375
lambda_liquid_dripper,0.85,0.04216519114859403,0.07159502365431969,13.792587975714213,1.2326136197907762,0.11297520310628784,0.19006425521557446
lambda_liquid_dripper,1.0,0.049606107233640034,0.0,13.799565488407918,1.2314351879098473,0.0833818781521245,0.009599829802596105
lambda_liquid_dripper,1.15,0.05704702331868604,-0.007690972824509146,13.789125137726097,1.230117015891909,0.004059370630983494,-0.12428406182533536
lambda_liquid_dripper,1.3,0.06448793940373204,0.06274913812556449,13.817308559261589,1.229137556913236,-0.03189640362293744,-0.21286494933877975
lambda_dripper_ambient,0.7,0.0028,0.20419643986029357,13.848391391020984,1.2313516822687025,-0.1594464523896022,0.3158327227560278
lambda_dripper_ambient,0.85,0.0034,0.06421101211876667,13.808989279114178,1.2312178891394872,-0.07504990342422957,0.15615298086282792
lambda_dripper_ambient,1.0,0.004,0.0,13.799565488407918,1.2314351879098473,0.0833818781521245,0.009599829802596105
lambda_dripper_ambient,1.15,0.0046,0.08489318279799463,13.78231432536033,1.2314944184381613,0.21083187389052682,-0.13629460991846543
lambda_dripper_ambient,1.3,0.005200000000000001,0.15413568630358832,13.746924669329507,1.23186279216738,0.31801908375490484,-0.28730703143936864
lambda_server_ambient,0.7,4.245021133323262e-05,0.033252418495402836,13.799565488407918,1.2314351879098473,0.0833818781521245,0.10460673978946033
lambda_server_ambient,0.85,5.15466851903539e-05,0.016617962023271815,13.799565488407918,1.2314351879098473,0.0833818781521245,0.05707972129765437
lambda_server_ambient,1.0,6.064315904747518e-05,0.0,13.799565488407918,1.2314351879098473,0.0833818781521245,0.009599829802596105
lambda_server_ambient,1.15,6.973963290459645e-05,0.009881604157669699,13.799565488407918,1.2314351879098473,0.0833818781521245,-0.037832984538795245
lambda_server_ambient,1.3,7.883610676171773e-05,0.026466629599038782,13.799565488407918,1.2314351879098473,0.0833818781521245,-0.08521877151413548
