mult,k_ext_coef,tds_pct,tds_gap_pctpt,ey_pct,m_extracted_g,t2_rmse_C
0.25,1.2e-07,0.35349457559792385,-1.0065054244020764,4.857616861258642,0.9715233722517285,7.923928739170804
0.3401975000435942,1.632948000209252e-07,0.38787916507115944,-0.9721208349288406,5.32944480829914,1.065888961659828,7.9231393217963015
0.46293735614364523,2.2220993094894969e-07,0.4178470219879883,-0.9421529780120118,5.741753304124794,1.1483506608249587,7.9234327010991255
0.6299605249474366,3.023810519747695e-07,0.4442962543406243,-0.9157037456593757,6.103517028682136,1.2207034057364272,7.923065166648825
0.8572439828530729,4.1147711176947494e-07,0.4682027320235319,-0.8917972679764682,6.43402717186807,1.2868054343736142,7.923330444746139
1.1665290395761165,5.599339389965359e-07,0.4916059889725197,-0.8683940110274804,6.754407409968087,1.3508814819936172,7.92300177425556
1.5874010519681998,7.619525049447358e-07,0.5158393730205287,-0.8441606269794714,7.0869476902781585,1.4173895380556316,7.922477103787023
2.1601194777846127,1.036857349336614e-06,0.5422322201383852,-0.8177677798616149,7.450145759096321,1.490029151819264,7.923853779120888
2.939468984551198,1.410945112584575e-06,0.5720683470147916,-0.7879316529852085,7.858239118447815,1.571647823689563,7.923616507865308
4.0,1.92e-06,0.6059216898657094,-0.7540783101342907,8.32408310453767,1.6648166209075344,7.92296504140033
5.443160000697508,2.6127168003348033e-06,0.6441986874089902,-0.7158013125910099,8.853010276255727,1.7706020552511452,7.922355348340692
7.406997698298323,3.5553588951831945e-06,0.6875683209411073,-0.6724316790588928,9.444384170686192,1.8888768341372382,7.923230334553711
10.079368399158986,4.838096831596312e-06,0.734705928945538,-0.6252940710544621,10.098683306749505,2.019736661349901,7.923707824609938
13.715903725649166,6.583633788311599e-06,0.7860531588421251,-0.573946841157875,10.801655202594256,2.160331040518851,7.923894493797776
18.664464633217865,8.958943023944574e-06,0.8400042603062674,-0.5199957396937327,11.540679640090579,2.3081359280181157,7.923577949584298
25.39841683149119,1.219124007911577e-05,0.894455505428773,-0.46554449457122715,12.295628130575537,2.4591256261151075,7.92409777193573
34.561911644553795,1.658971758938582e-05,0.948960981757603,-0.4110390182423971,13.038750364301837,2.6077500728603673,7.922539605773621
47.031503752819155,2.2575121801353193e-05,1.0002222415311466,-0.3597777584688535,13.746187536328067,2.7492375072656134,7.9235285738770855
64.0,3.072e-05,1.0475617129450405,-0.3124382870549596,14.38946157449632,2.877892314899264,7.924250927314019
