bin_index,d_lo_mm,d_hi_mm,d_mid_mm,particle_count,num_fraction,area_fraction,volume_fraction,diameter_eq_mean_mm,diameter_eq_median_mm,aspect_ratio_mean,roundness_mean,surface_to_volume_mm_inv_mean,shell_accessibility_mean,shell_accessibility_volume_weighted
1,0.25,0.4,0.325,221,0.058173203474598575,0.0016679855984149826,0.00019715884140288325,0.31346917287747833,0.31915382432114614,1.6383790052993426,0.7490148338299655,8.075336976215546,1.0,1.0
2,0.4,0.55,0.47500000000000003,190,0.05001316135825217,0.003244955325578142,0.0005316034899676849,0.47484332118661504,0.47873073648171915,1.7709165838097471,0.6285135928269562,5.550485541943954,0.9943618806324115,0.9931801510026749
3,0.55,0.75,0.65,329,0.08660173729928929,0.010686221346766637,0.002451145318015499,0.654350026918109,0.6579524642479541,1.731853222897358,0.6438924262016374,3.9873221149296185,0.9399053388635461,0.9336833724648413
4,0.75,1.0,0.875,510,0.13424585417215057,0.030696300156930523,0.009845071034568428,0.8916306020264023,0.895623198216277,1.606247720904106,0.6754251676165045,2.8276698069575428,0.8327877901255809,0.8253772394297187
5,1.0,1.4,1.2,1024,0.26954461700447485,0.10968370547647287,0.04654541880035971,1.1878117713048895,1.1834540545406393,1.6333292462128146,0.6628504107796237,2.143219167670649,0.7101748962688849,0.698808185353714
6,1.4,2.0,1.7,750,0.19742037378257435,0.1569180684707609,0.08709133521628531,1.658667456137176,1.6429448666460313,1.8827658349283,0.5891007479684305,1.6413175772333812,0.566020084579996,0.554151816734947
7,2.0,3.0,2.5,423,0.11134509081337195,0.1894595956595968,0.14686402959841285,2.4222245641016182,2.3803184606416585,2.115174055946949,0.5215921793920926,1.200986779480648,0.4220610037616853,0.40733441709844265
