dose_g,roast,grinder,grinder_setting,bed_height_cm,brew_temp_C,ambient_temp_C,final_coffee_temp_C,final_tds_pct,dripper_mass_g,dripper_cp_J_gK,lambda_liquid_dripper,lambda_dripper_ambient,lambda_server_ambient,time_mmss,time_s,poured_weight_g,drained_volume_ml,estimated_server_volume_ml,server_temp_C,outflow_temp_C,use_for_fit,server_temp_use_for_fit,outflow_temp_use_for_fit,phase,notes
20,light,Kinu,29,5.3,92.0,23.0,73.8,1.36,123.5,0.88,0.02,0.004,0.0,00:00,0,0.0,0,0,24.6,25.5,0,0,0,start,初始狀態
20,light,Kinu,29,5.3,92.0,23.0,73.8,1.36,123.5,0.88,0.02,0.004,0.0,00:05,5,29.3,10,10,24.6,70.8,0,0,1,pour_1_start,開始第一段注水
20,light,Kinu,29,5.3,92.0,23.0,73.8,1.36,123.5,0.88,0.02,0.004,0.0,00:10,10,39.1,25,25,25.3,69.9,0,0,1,bloom_pause,停止注水，悶蒸中
20,light,Kinu,29,5.3,92.0,23.0,73.8,1.36,123.5,0.88,0.02,0.004,0.0,00:15,15,39.1,30,30,26.9,71.7,0,0,1,bloom_drain,
20,light,Kinu,29,5.3,92.0,23.0,73.8,1.36,123.5,0.88,0.02,0.004,0.0,00:20,20,39.1,35,35,29.9,74.1,0,0,1,bloom_drain,
20,light,Kinu,29,5.3,92.0,23.0,73.8,1.36,123.5,0.88,0.02,0.004,0.0,00:25,25,39.1,40,40,29.6,73.1,0,0,1,bloom_drain,
20,light,Kinu,29,5.3,92.0,23.0,73.8,1.36,123.5,0.88,0.02,0.004,0.0,00:30,30,39.0,45,45,34.4,70.9,0,0,1,bloom_end,準備第二段注水
20,light,Kinu,29,5.3,92.0,23.0,73.8,1.36,123.5,0.88,0.02,0.004,0.0,00:35,35,52.0,50,50,34.2,69.6,0,0,1,pour_2_start,開始注水
20,light,Kinu,29,5.3,92.0,23.0,73.8,1.36,123.5,0.88,0.02,0.004,0.0,00:40,40,84.4,60,60,33.9,74.3,0,0,1,pour_2_rise,
20,light,Kinu,29,5.3,92.0,23.0,73.8,1.36,123.5,0.88,0.02,0.004,0.0,00:45,45,91.1,70,70,42.7,77.2,0,0,1,pour_2_end,停止注水
20,light,Kinu,29,5.3,92.0,23.0,73.8,1.36,123.5,0.88,0.02,0.004,0.0,00:50,50,91.1,80,80,59.7,78.4,0,0,1,pause_1,T1 劇烈上升點
20,light,Kinu,29,5.3,92.0,23.0,73.8,1.36,123.5,0.88,0.02,0.004,0.0,00:55,55,91.1,90,90,63.4,79.1,0,0,1,pause_1,
20,light,Kinu,29,5.3,92.0,23.0,73.8,1.36,123.5,0.88,0.02,0.004,0.0,01:00,60,125.1,110,110,64.6,80.4,0,1,1,pour_3_start,第三段注水
20,light,Kinu,29,5.3,92.0,23.0,73.8,1.36,123.5,0.88,0.02,0.004,0.0,01:05,65,151.4,130,130,67.2,79.8,0,1,1,pour_3_end,停止注水
20,light,Kinu,29,5.3,92.0,23.0,73.8,1.36,123.5,0.88,0.02,0.004,0.0,01:10,70,151.4,150,150,67.4,79.6,0,1,1,pause_2,
20,light,Kinu,29,5.3,92.0,23.0,73.8,1.36,123.5,0.88,0.02,0.004,0.0,01:15,75,160.0,170,170,69.4,82.5,0,1,1,pour_4_start,第四段注水
20,light,Kinu,29,5.3,92.0,23.0,73.8,1.36,123.5,0.88,0.02,0.004,0.0,01:20,80,178.9,190,190,69.7,83.7,0,1,1,pour_4_rise,
20,light,Kinu,29,5.3,92.0,23.0,73.8,1.36,123.5,0.88,0.02,0.004,0.0,01:25,85,210.8,210,210,68.9,81.8,0,1,1,pour_4_end,停止注水
20,light,Kinu,29,5.3,92.0,23.0,73.8,1.36,123.5,0.88,0.02,0.004,0.0,01:30,90,220.2,225,225,71.1,81.1,0,1,1,pause_3,
20,light,Kinu,29,5.3,92.0,23.0,73.8,1.36,123.5,0.88,0.02,0.004,0.0,01:35,95,220.1,240,240,72.2,83.2,0,1,1,pause_3,
20,light,Kinu,29,5.3,92.0,23.0,73.8,1.36,123.5,0.88,0.02,0.004,0.0,01:40,100,220.1,250,250,72.1,84.5,0,1,1,pause_3,
20,light,Kinu,29,5.3,92.0,23.0,73.8,1.36,123.5,0.88,0.02,0.004,0.0,01:45,105,252.9,260,260,71.7,84.5,0,1,1,pour_5_start,第五段注水
20,light,Kinu,29,5.3,92.0,23.0,73.8,1.36,123.5,0.88,0.02,0.004,0.0,01:50,110,283.9,270,270,72.5,82.8,0,1,1,pour_5_rise,
20,light,Kinu,29,5.3,92.0,23.0,73.8,1.36,123.5,0.88,0.02,0.004,0.0,01:55,115,303.0,275,275,72.3,82.5,0,1,1,pour_5_end,停止注水
20,light,Kinu,29,5.3,92.0,23.0,73.8,1.36,123.5,0.88,0.02,0.004,0.0,02:00,120,303.0,275,275,73.4,83.2,0,1,1,drawdown,
20,light,Kinu,29,5.3,92.0,23.0,73.8,1.36,123.5,0.88,0.02,0.004,0.0,02:05,125,303.0,275,275,73.8,85.0,0,1,1,dripper_off_final,實驗結束（移除濾杯）
