shell_thickness_um,tds_pct,tds_gap_pctpt,ey_pct,m_extracted_g,t2_rmse_C,shell_fraction_abs,shell_accessibility_ratio,diffusion_path_fast_um,diffusion_path_slow_um,M_sol_0_g
25.0,0.32438006103003253,-1.0356199389699676,4.4560876343973055,0.8912175268794611,7.9220930449992775,0.08346581290966867,0.5192990743177226,12.499999999999996,868.6613616905274,2.937809972434265
50.0,0.3411131624300806,-1.0188868375699194,4.686215662344561,0.9372431324689122,7.922745091959898,0.16143346722144677,0.5370673299517754,24.999999999999996,780.9511727701532,2.987951460441887
75.0,0.35852464008324403,-1.001475359916756,4.926115103735133,0.9852230207470266,7.92338730783953,0.23413598259421958,0.5556086719285999,37.5,700.7725505035165,3.0407486317272943
100.0,0.3766477413694821,-0.983352258630518,5.175515809833053,1.0351031619666107,7.923608995929772,0.30180637868687415,0.5748515162405406,49.999999999999986,627.61063197966,3.0960450358321943
125.0,0.3992823073405481,-0.9607176926594521,5.487496442963491,1.0974992885926982,7.923549499468646,0.3646776751582955,0.5947513683694118,62.5,560.9740277822154,3.153718973069006
150.0,0.4242374725384108,-0.9357625274615893,5.829523845751106,1.1659047691502211,7.923931090269465,0.4229828916673703,0.6152351605058293,75.0,500.39396798345814,3.2135628030910945
175.0,0.4513280582068072,-0.9086719417931929,6.199925301255545,1.239985060251109,7.923810230352472,0.47695398479766554,0.6361986459561109,87.48713845725523,445.42680526565766,3.275273425606081
200.0,0.4799200446829522,-0.880079955317048,6.594008748810872,1.3188017497621742,7.9233254671176,0.5268130348680486,0.6575066306557333,99.97241808699468,395.64813840696047,3.33845339204696
250.0,0.5400995752441047,-0.8199004247558954,7.419013645063149,1.4838027290126299,7.92260725271119,0.6150615555793895,0.7004777739821112,124.93055475697463,310.08566286356427,3.4671615974659193
300.0,0.5986109889185866,-0.7613890110814135,8.223301412977065,1.644660282595413,7.923073497573145,0.6894294705046623,0.7426627511586883,149.8480151901827,240.75264938865152,3.5950562984259187
400.0,0.6996332942725362,-0.6603667057274639,9.612582859280378,1.9225165718560757,7.92389928216811,0.8029799619301737,0.8194753275709629,199.3362325059298,140.69464315126092,3.8313642934034995
500.0,0.7581496689077867,-0.6018503310922134,10.416748958640438,2.0833497917280877,7.923502573778427,0.8795114096193142,0.8820078522299356,247.74492545091718,78.2983677895186,4.026506534132599
600.0,0.7936780248733254,-0.5663219751266747,10.903757734434446,2.1807515468868894,7.924426940561479,0.9294455321947712,0.9294467587525183,294.9590830224434,41.164783286453016,4.175928452018901
800.0,0.5713826155900069,-0.7886173844099932,7.853613470876133,1.5707226941752266,7.924355280220867,0.9804165768946814,0.9804165768946815,374.52099967435447,8.05083986638909,4.337601854788072
1000.0,0.5522820622872617,-0.8077179377127384,7.58654881300809,1.5173097626016179,7.923117711624785,0.9973499352136561,0.9973499352136562,429.2186208616159,1.325032393171868,4.391547622798275
