ID,SURFACE,ROUNDNESS,SHORT_AXIS,LONG_AXIS,VOLUME,PIXEL_SCALE
0,104.0,0.7175385653695782,4.873762446388639,6.792335188114022,506.87129442441847,17.2352
1,212.0,0.5900517639068315,6.310126280835149,10.694191030045817,1337.7467715370517,17.2352
2,105.0,0.8263647560231149,5.255397939336414,6.359658856493406,551.8167836303235,17.2352
3,264.0,0.7287280858139683,7.825458291394521,10.738516112842978,2065.9209889281537,17.2352
4,170.0,0.5034698731651471,5.219588533985044,10.367231113892142,887.3300507774574,17.2352
5,350.0,0.7091535709018107,8.888515475275073,12.533978308777034,3110.9804163462754,17.2352
6,47.0,0.8515521480393111,3.5692717694414804,4.191489361702259,167.7557731637496,17.2352
7,229.0,0.5912837885938713,6.565091612305694,11.10311450939337,1503.4059792180037,17.2352
8,548.0,0.2920549429739769,7.137524687192901,24.43897923627637,3911.36352858171,17.2352
9,239.0,0.532653450138924,6.365703207211337,11.950928329763128,1521.4030665235096,17.2352
10,82.0,0.866896935710459,4.7568091116844275,5.4871679847224515,390.058347158123,17.2352
11,381.0,0.7271097188569765,9.39047425404061,12.914796777579216,3577.7706907894726,17.2352
12,224.0,0.3266248918098784,4.825848816388901,14.77489602720765,1080.9901348711137,17.2352
13,432.0,0.6394677996334259,9.377266900778203,14.664173717822395,4050.979301136184,17.2352
14,113.0,0.6943628343131454,4.997554270634115,7.197323969071057,564.723632581655,17.2352
15,78.0,0.3892547643496482,3.108775305398818,7.986479781674193,242.48447382110783,17.2352
16,64.0,0.7273308067445076,3.849293639620101,5.2923561107624835,246.35479293568645,17.2352
17,413.0,0.7234306651337666,9.752108992268544,13.480364411239496,4027.6210138069086,17.2352
18,470.0,0.48006305502228436,8.474676613914982,17.653257265384838,3983.098008540041,17.2352
19,48.0,0.8461128934705003,3.5955045186069747,4.249438279872202,172.58421689313482,17.2352
20,437.0,0.6601195052721378,9.582461099645128,14.516252016662811,4187.535500544921,17.2352
21,31.0,0.8195998115212195,2.8438509813928095,3.4698043379420445,88.15938042317707,17.2352
22,62.0,0.9900961688624003,4.420379930157482,4.464596540391026,274.0635556697639,17.2352
23,50.0,0.5384860708211593,2.9275026892783536,5.43654301923555,146.37513446391768,17.2352
24,131.0,0.3938311313513062,4.05243197106193,10.289770534790634,530.8685882091128,17.2352
25,256.0,0.7154122706030945,7.635249596321033,10.672516966873518,1954.6238966581843,17.2352
26,198.0,0.4719079109247453,5.453637756241778,11.556572013287278,1079.820275735872,17.2352
27,90.0,0.5096403319620892,3.8210103435527327,7.4974645920232375,343.8909309197459,17.2352
28,143.0,0.37589136404520573,4.136416448431903,11.004286993766756,591.5075521257621,17.2352
29,228.0,0.47564659454199565,5.875362716369128,12.352369981806698,1339.5826993321614,17.2352
30,178.0,0.6989530112458814,6.293019173293053,9.003493900220514,1120.1574128461634,17.2352
31,69.0,0.6972943972496489,3.9134311435789972,5.612308314844943,270.02674890695084,17.2352
32,98.0,0.5956113424077992,4.310419921995644,7.236967490529108,422.42115235557316,17.2352
33,73.0,0.8196564375736103,4.364177649550062,5.324398674241038,318.5849684171546,17.2352
34,161.0,0.6584611282510241,5.809022686579512,8.822119389202498,935.2526525393016,17.2352
35,167.0,0.6361978226764691,5.815397272751813,9.14086321183335,971.1713445495529,17.2352
36,359.0,0.4533702673787463,7.1977839309631415,15.876171087660012,2584.004431215768,17.2352
37,74.0,0.7524079828674983,4.20985968351492,5.595182107811701,311.52961658010406,17.2352
38,145.0,0.617111272983802,5.336921375156297,8.648231864817,773.8535993976632,17.2352
39,62.0,0.7601951895865054,3.8733207903598985,5.095166140773297,240.14588900231368,17.2352
40,519.0,0.41682639983824066,8.298246878671549,19.908160524121982,4306.790130030534,17.2352
41,333.0,0.3312607549043342,5.925597849375326,17.888016499529492,1973.2240838419839,17.2352
42,150.0,0.3987755934404668,4.363499978702451,10.942244336108994,654.5249968053677,17.2352
43,140.0,0.6832340637458574,5.517900143124789,8.076149062113043,772.5060200374704,17.2352
44,441.0,0.6716559641000694,9.70996794371251,14.456758314835469,4282.095863177216,17.2352
45,47.0,0.5180244421790865,2.783871074211411,5.374014906518633,130.8419404879363,17.2352
46,210.0,0.3708731568203392,4.9790605931824246,13.42523852594275,1045.6027245683092,17.2352
47,101.0,0.6477611527880303,4.563448987404388,7.044956258588273,460.9083477278432,17.2352
48,161.0,0.4046612933423973,4.553903614100264,11.25361799861361,733.1784818701424,17.2352
49,95.0,0.6092496387216887,4.29224503029668,7.045133484695295,407.7632778781846,17.2352
50,235.0,0.48890942459359055,6.047462713791097,12.369290526191213,1421.1537377409077,17.2352
51,100.0,0.49889329404135957,3.9850052401993348,7.9876905298089005,398.5005240199335,17.2352
52,41.0,0.5859571491900285,2.7653488192554505,4.719370389247756,113.37930158947347,17.2352
53,56.0,0.764657806881214,3.691923050493164,4.828202912818344,206.74769082761722,17.2352
54,57.0,0.5747734277694483,3.229318143101007,5.618419340701226,184.0711341567574,17.2352
55,94.0,0.9256560306497268,5.2627629417993615,5.685441208766694,494.69971652914,17.2352
56,54.0,0.7191154651082319,3.5157764917563616,4.8890291786830264,189.85193055484353,17.2352
57,479.0,0.4033665819714982,7.842287830224965,19.442086133895693,3756.455870677758,17.2352
58,171.0,0.43610283170841624,4.872115465182086,11.171941824123817,833.1317445461366,17.2352
59,250.0,0.5772532390024113,6.77763625473664,11.741183585993406,1694.4090636841597,17.2352
60,143.0,0.5161484210616567,4.847082190161141,9.39086896786638,693.1327531930432,17.2352
61,30.0,0.5728814109427113,2.3389344799330134,4.082755061093978,70.16803439799041,17.2352
62,36.0,0.7172695508230569,2.866932787332325,3.997008912538611,103.2095803439637,17.2352
63,46.0,0.7276765250031809,3.2641729527109047,4.485747224972849,150.15195582470162,17.2352
64,297.0,0.3928555575644391,6.094242604381356,15.512680136596344,1809.9900535012628,17.2352
65,93.0,0.6801548872082537,4.487148571233024,6.597245209324098,417.3048171246713,17.2352
66,100.0,0.7147233057761808,4.769732635216767,6.673537292920502,476.97326352167676,17.2352
67,176.0,0.501811414691983,5.302145795444939,10.56601272950208,933.1776599983092,17.2352
68,177.0,0.48749771734302955,5.24080487112907,10.750419303894626,927.6224621898452,17.2352
69,230.0,0.28508101882788295,4.5684947773791285,16.025250632829216,1050.7537987971994,17.2352
70,332.0,0.2681714031039759,5.323537744914088,19.85125066765615,1767.414531311477,17.2352
71,141.0,0.390415282740709,4.18598844170868,10.721886736408239,590.2243702809241,17.2352
72,71.0,0.6710209603779392,3.8942361243591304,5.803449302337411,276.49076482949823,17.2352
73,104.0,0.6480780248842165,4.6318595405374205,7.1470708196978805,481.7133922158917,17.2352
74,32.0,0.8689085596859758,2.9750008254802993,3.4238364812005844,95.20002641536959,17.2352
75,50.0,0.6815940758697955,3.293616042540938,4.832225160316851,164.68080212704692,17.2352
76,68.0,0.6992036979024275,3.8902846381602076,5.563878809323873,264.53935539489413,17.2352
77,62.0,0.6568379732147684,3.600394043809851,5.481403619508184,223.22443071621075,17.2352
78,153.0,0.9085725273025546,6.6519745577216,7.321346791621064,1017.7521073314049,17.2352
79,88.0,0.6683796538459874,4.326911477694966,6.473733083879903,380.768210037157,17.2352
80,216.0,0.48445453947273737,5.771363839967998,11.913117474860158,1246.6145894330873,17.2352
81,477.0,0.3470160938477491,7.258703578571592,20.917483964753227,3462.4016069786494,17.2352
82,374.0,0.35400748803842114,6.491829258877584,18.338112831593588,2427.9441428202167,17.2352
83,51.0,0.6679130107273663,3.2928360171272346,4.930037241737949,167.93463687348896,17.2352
84,122.0,0.802084815551839,5.581039886478363,6.958166740307352,680.8868661503602,17.2352
85,131.0,0.4251250354766138,4.210358264684106,9.903811616184433,551.5569326736178,17.2352
86,343.0,0.6962278160921481,8.718621194667787,12.52265564970453,2990.4870697710517,17.2352
87,145.0,0.8140476468944865,6.129626008617423,7.52981232978359,888.7957712495264,17.2352
88,92.0,0.3570859761898842,3.2337420540872372,9.055920057660458,297.5042689760258,17.2352
89,217.0,0.5457503205651661,6.139767566119972,11.250140100260086,1332.3295618480338,17.2352
90,236.0,0.2444941586439393,4.285636270530986,17.52858348150651,1011.4101598453128,17.2352
91,355.0,0.550686332655372,7.888444769029426,14.324751317127994,2800.3978930054463,17.2352
