param,factor,value,delta_loss,rmse_ml,velocity_rmse_mlps,drain_time_error_s
pref_flow_coeff,0.6,3.076393456787762e-05,0.06303694157958617,13.62407000199528,1.2478969245852245,0.9656652360515068
pref_flow_coeff,0.8,4.101857942383683e-05,-0.030550850889863312,13.656737954467552,1.247587549005058,0.7081545064377508
pref_flow_coeff,1.0,5.127322427979604e-05,0.0,13.68523207774633,1.247145861871407,0.7081545064377508
pref_flow_coeff,1.2,6.152786913575524e-05,-0.07943527530987637,13.731343183054125,1.2470345301619545,0.45064377682402323
pref_flow_coeff,1.4,7.178251399171445e-05,-0.0384449105231468,13.769699275666017,1.246987673040353,0.45064377682402323
pref_flow_open_rate,0.6,0.1524447276788844,0.07976490108307743,13.639757051599611,1.2481235235392798,0.9656652360515068
pref_flow_open_rate,0.8,0.20325963690517923,-0.019592436436024485,13.667178926576787,1.2475803146269049,0.7081545064377508
pref_flow_open_rate,1.0,0.254074546131474,0.0,13.68523207774633,1.247145861871407,0.7081545064377508
pref_flow_open_rate,1.2,0.3048894553577688,-0.08768577396456934,13.723694919772171,1.247238120207218,0.45064377682402323
pref_flow_open_rate,1.4,0.35570436458406357,-0.042939273300248715,13.765614815900815,1.2469915283306585,0.45064377682402323
pref_flow_tau_decay,0.6,1.884084984225257,0.06498895548914163,13.627215467934702,1.2471802474711637,0.9656652360515068
pref_flow_tau_decay,0.8,2.512113312300343,-0.025289211993719363,13.6624236455789,1.2470860363602085,0.7081545064377508
pref_flow_tau_decay,1.0,3.1401416403754285,0.0,13.68523207774633,1.247145861871407,0.7081545064377508
pref_flow_tau_decay,1.2,3.768169968450514,-0.07672670184925678,13.73288207780769,1.2481238056786903,0.45064377682402323
pref_flow_tau_decay,1.4,4.3961982965256,-0.023856621362863706,13.781468982667217,1.2489297609534076,0.45064377682402323
