wetbed_struct_gain,wetbed_struct_rate,wetbed_impact_release_rate,rmse_ml,velocity_rmse_mlps,drain_time_error_s,brew_time_s,drain_time_s,chi_max,ey_pct,score
1.0,0.03,0.3,13.265098392054846,1.1830367140870133,0.5506117908787473,107.91991101223583,135.55061179087875,0.12638790989976986,10.935771034809758,15.083702406455664
0.3,0.13,0.3,13.271198032951531,1.1844549402806757,0.5506117908787473,108.12013348164628,135.55061179087875,0.4336684395527957,10.936894920937352,15.091929386642844
0.7,0.05,0.3,13.241439050177327,1.1845693731014735,0.9510567296996726,108.32035595105674,135.95105672969967,0.20067488905739428,10.94387447083407,15.09437764820551
0.45,0.08,0.3,13.258483385122629,1.1844403124399132,0.7508342602892242,108.12013348164628,135.75083426028922,0.2991144490027357,10.940007254705197,15.095210594605637
0.3,0.16,0.6,13.31710616900134,1.1863002420657218,0.35038932146829893,107.91991101223583,135.3503893214683,0.483543241486291,10.934801977429684,15.124587677817386
0.45,0.1,0.6,13.30470347483091,1.1863448900326095,0.5506117908787473,107.91991101223583,135.55061179087875,0.34359743856911185,10.937996459882743,15.128269753150123
0.3,0.08,0.0,13.254695838057232,1.1886081748253297,1.151279199110121,108.32035595105674,136.15127919911012,0.43664628636167707,10.94731486145482,15.129710436224036
0.3,0.16,0.3,13.246347105995866,1.18723013090551,1.3515016685205978,108.52057842046719,136.3515016685206,0.5001364982726992,10.948880831090946,15.135312435835779
0.7,0.05,0.6,13.35865606737608,1.1834584194568796,-0.05005561735259789,107.71968854282537,134.9499443826474,0.19212328959727848,10.927051505797651,15.137848145949608
0.3,0.1,0.3,13.351488149819444,1.1811919541485691,-0.2502780867630747,107.5194660734149,134.74972191323693,0.3568811335885422,10.924086207260705,15.143298327983343
0.7,0.03,0.0,13.233113168041232,1.190885170917354,1.5517241379310462,108.72080088987765,136.55172413793105,0.20988403765958943,10.955360758015393,15.143578855451748
1.0,0.05,0.6,13.237419655075785,1.1898492943179861,1.5517241379310462,108.52057842046719,136.55172413793105,0.192245709296291,10.953605839727665,15.146331527587249
0.45,0.1,0.3,13.227905709713635,1.1877097184842191,1.7519466073414947,108.72080088987765,136.7519466073415,0.3570953220226403,10.955005900969505,15.149626016027284
0.45,0.05,0.0,13.242518849886052,1.1900529879120398,1.5517241379310462,108.52057842046719,136.55172413793105,0.31516071539093965,10.953315209592851,15.151736262788596
0.15,0.16,0.0,13.359138883244205,1.1828417074513724,-0.2502780867630747,107.71968854282537,134.74972191323693,0.6347786310644171,10.925523131580386,15.15342369136231
0.45,0.1,0.9,13.367408190775553,1.186390271721218,0.15016685205785052,107.71968854282537,135.15016685205785,0.332746283002846,10.92983974200382,15.159006946522007
