wetbed_struct_gain,wetbed_struct_rate,wetbed_impact_release_rate,rmse_ml,velocity_rmse_mlps,drain_time_error_s,brew_time_s,drain_time_s,chi_max,ey_pct,score
0.3,0.16,0.6,13.316750349711866,1.1863063418650175,0.39424280350439744,107.909887359199,135.3942428035044,0.48346945698528776,10.929858045931041,15.127749286789744
1.0,0.05,0.6,13.237130208444444,1.1898494749309,1.7459324155194054,108.58573216520651,136.7459324155194,0.19221637426990756,10.948684943888695,15.161579014082347
0.3,0.1,0.0,13.217829613781536,1.1910301008788806,1.971214017521902,108.81101376720902,136.9712140175219,0.5013636966056728,10.953865046651565,15.162071886501609
1.0,0.05,1.2,13.343482577968379,1.1899379729295845,0.619524405506894,107.909887359199,135.6195244055069,0.1800564235287012,10.932054056749752,15.177951489803307
0.6,0.1,1.2,13.307527739818692,1.1922436559736698,1.0700876095118872,108.1351689612015,136.0700876095119,0.3239369089680108,10.940167583996205,15.181500232540147
1.0,0.05,1.8,13.401693013104255,1.1888413915316953,-0.056320400500624146,107.6846057571965,134.94367959949938,0.17146921931938025,10.923744340754348,15.189460732441848
0.6,0.1,1.8,13.363350927279388,1.1914380101777502,0.619524405506894,107.909887359199,135.6195244055069,0.31019680418891027,10.931937115769681,15.200069894986566
0.3,0.05,0.0,13.40369465450368,1.182921306627699,-0.28160200250312073,107.6846057571965,134.71839799749688,0.3149565948194538,10.918625689000496,15.200604774645477
0.6,0.1,0.6,13.24924912662713,1.1925951023253696,2.1964956195243985,108.81101376720902,137.1964956195244,0.34362973401915814,10.957227252524202,15.213861429677138
0.3,0.16,1.2,13.43419260125129,1.1857824018323284,-0.28160200250312073,107.459324155194,134.71839799749688,0.4595694306785693,10.919352037287,15.235394364200031
0.6,0.05,0.6,13.428301026529825,1.1809832857653089,-0.7321652065081423,107.459324155194,134.26783479349186,0.19205147364205055,10.9128916315941,15.25834917169844
0.3,0.16,1.8,13.477422981413298,1.1849550812115026,-0.7321652065081423,107.23404255319149,134.26783479349186,0.4421846078911768,10.912718324603148,15.313428819751204
0.3,0.1,0.6,13.478421243757111,1.1802729954234263,-0.9574468085106389,107.23404255319149,134.04255319148936,0.3433297211550069,10.907857650307838,15.325426481573102
0.6,0.05,0.0,13.274067252659368,1.1979698365675553,3.3229036295369383,109.71214017521902,138.32290362953694,0.3165214385977242,10.977355797817127,15.336854297873655
0.6,0.16,1.8,13.339151475514333,1.2027570856323482,2.64705882352942,109.03629536921152,137.64705882352942,0.4426775460718349,10.96614117730309,15.35505180984521
0.3,0.16,0.0,13.339304204439633,1.1974047067631586,3.548185231539435,109.93742177722153,138.54818523153943,0.6379351849298011,10.980433415340606,15.419266083107527
