t_s,h_mm,q_in_mlps,q_ext_mlps,q_bp_mlps,q_out_mlps,q_cup_mlps,v_in_ml,v_out_ml,v_bed_ml,v_cup_ml,sat,phi_eff,u_pore_mps,k_vals_m2,bypass_ratio,C_out_gl,T_bed_C,T_dripper_C,T_cup_C
0.0,0.1,6.34,0.0005084186036443065,0.0,0.0005084186036443065,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.12137600089480581,8.122875712025124e-11,0.0,0.0,78.04504290648407,23.0,78.04504290648407
0.12229016120066703,0.1,6.34,0.0005181121148981018,0.0,0.0005181121148981018,0.0,0.7753196220122288,6.2772021209442e-05,6.2772021209442e-05,0.0,0.0,0.4,0.12369015624274347,8.122875169143575e-11,0.0,5.925358904405009e-06,79.19696143933129,23.0,78.04504290648407
0.24458032240133407,0.1,6.34,0.000527354124333432,0.0,0.000527354124333432,3.108729649854014e-05,1.5506392440244576,0.00012670155907714147,0.00012670155907714147,3.8016705000994053e-06,0.0,0.4,0.12589652347134556,8.122874616252069e-11,0.0,1.2152981319692376e-05,80.25991686636132,23.0,78.04504290648408
0.3668704836020011,0.1,6.34,0.0005361732583203368,0.0,0.0005361732583203368,6.086646827394413e-05,2.325958866036687,0.0001917352474847701,0.0001917352474847701,1.1245040717035319e-05,0.0,0.4,0.12800193662305404,8.12287405381218e-11,0.0,1.867160961390045e-05,81.24077291064935,23.0,78.64459777221253
0.48916064480266813,0.1,6.34,0.0005445964675859088,0.0,0.0005445964675859088,8.938989360276217e-05,3.1012784880489153,0.0002578228837712251,0.0002578228837712251,2.217654521542758e-05,0.0,0.4,0.1300128297100239,8.122873482258121e-11,0.0,2.542133898190368e-05,82.14588673991358,23.0,79.22728268750899
0.6114508060033351,0.1,6.34,0.0005526489258847277,0.0,0.0005526489258847277,0.00011670849844930648,3.876598110061144,0.0003249175566690206,0.0003249175566690206,3.6448846304281063e-05,0.0,0.4,0.13193521252347146,8.122872901995643e-11,0.0,4.3856590749734695e-05,82.98111091448806,23.0,79.79288830630536
0.7337409672040022,0.1,6.34,0.0005603540437707846,0.0,0.0005603540437707846,0.00014287174281007705,4.651917732073374,0.0003929756426256247,0.0003929756426256247,5.392065476354563e-05,0.0,0.4,0.13377467392147907,8.122872313402058e-11,0.0,0.00012194079951334861,83.7518144359666,23.0,80.3413062265388
0.8560311284046692,0.1,6.34,0.0005677340424795011,0.0,0.0005677340424795011,0.0001679276016973542,5.4272373540856025,0.00046195601749887693,0.00046195601749887693,7.445654824515647e-05,0.0,0.4,0.13553651883323511,8.122871716833062e-11,0.0,0.0003408918649836454,84.46298653136336,23.0,80.87250927945236
0.9783212896053363,0.1,6.34,0.0005748099188804184,0.0,0.0005748099188804184,0.0001919225481276362,6.2025569760978305,0.0005318199853624782,0.0005318199853624782,9.792678759372789e-05,0.0,0.4,0.137225759892105,8.122871112623346e-11,0.0,0.0008135457967942552,85.11924719175414,23.0,81.3865360363241
1.1006114508060032,0.1,6.34,0.0005816012683586655,0.0,0.0005816012683586655,0.0002149015722403128,6.977876598110059,0.0006025315367500199,0.0006025315367500199,0.00012420713550527251,0.0,0.4,0.13884707515169642,8.122870501084373e-11,0.0,0.0016707999627023787,85.72483784950356,23.0,81.88349072923272
