dose_g,roast,grinder,grinder_setting,bed_height_cm,brew_temp_C,ambient_temp_C,final_coffee_temp_C,final_tds_pct,dripper_mass_g,dripper_cp_J_gK,lambda_liquid_dripper,lambda_dripper_ambient,lambda_server_ambient,time_mmss,time_s,poured_weight_g,drained_volume_ml,estimated_server_volume_ml,server_temp_C,outflow_temp_C,use_for_fit,server_temp_use_for_fit,outflow_temp_use_for_fit,phase,notes
20,light,Kinu,27,5.3,92.0,23.0,,1.19,224.1,0.88,0.02,0.004,0.0,00:00,0,0.0,0.0,0.0,23.5,24.5,1,0,0,start,4/12 Kinu27 thermal case start
20,light,Kinu,27,5.3,92.0,23.0,,,123.5,0.88,0.02,0.004,0.0,00:05,5,28.8,5.0,5.0,23.6,32.4,1,0,1,bloom_first_drip,first drip observed
20,light,Kinu,27,5.3,92.0,23.0,,,123.5,0.88,0.02,0.004,0.0,00:10,10,48.4,15.0,15.0,23.7,47.2,1,0,1,bloom_rise,
20,light,Kinu,27,5.3,92.0,23.0,,,123.5,0.88,0.02,0.004,0.0,00:15,15,59.4,20.0,20.0,38.6,51.1,1,1,1,bloom_end,
20,light,Kinu,27,5.3,92.0,23.0,,,123.5,0.88,0.02,0.004,0.0,00:20,20,59.4,20.0,20.0,38.4,54.5,1,1,1,bloom_drain,
20,light,Kinu,27,5.3,92.0,23.0,,,123.5,0.88,0.02,0.004,0.0,00:25,25,59.4,20.0,20.0,41.2,57.6,1,1,1,bloom_drain,
20,light,Kinu,27,5.3,92.0,23.0,,,123.5,0.88,0.02,0.004,0.0,00:30,30,59.4,25.0,25.0,44.5,59.4,1,1,1,pause_1,
20,light,Kinu,27,5.3,92.0,23.0,,,123.5,0.88,0.02,0.004,0.0,00:35,35,77.3,35.0,35.0,45.6,61.1,1,1,1,pour_2_start,second pour start
20,light,Kinu,27,5.3,92.0,23.0,,,123.5,0.88,0.02,0.004,0.0,00:40,40,79.6,40.0,40.0,46.2,63.4,1,1,1,pour_2_rise,
20,light,Kinu,27,5.3,92.0,23.0,,,123.5,0.88,0.02,0.004,0.0,00:45,45,80.8,50.0,50.0,48.2,73.6,1,1,1,pour_2_end,
20,light,Kinu,27,5.3,92.0,23.0,,,123.5,0.88,0.02,0.004,0.0,00:50,50,101.9,70.0,70.0,55.3,75.1,1,1,1,pour_3_start,third pour start
20,light,Kinu,27,5.3,92.0,23.0,,,123.5,0.88,0.02,0.004,0.0,00:55,55,109.7,80.0,80.0,55.6,77.2,1,1,1,pour_3_rise,
20,light,Kinu,27,5.3,92.0,23.0,,,123.5,0.88,0.02,0.004,0.0,01:00,60,125.4,100.0,100.0,57.9,82.4,1,1,1,pour_3_end,
20,light,Kinu,27,5.3,92.0,23.0,,,123.5,0.88,0.02,0.004,0.0,01:05,65,145.6,115.0,115.0,58.3,83.1,1,1,1,pour_4_start,fourth pour start
20,light,Kinu,27,5.3,92.0,23.0,,,123.5,0.88,0.02,0.004,0.0,01:10,70,145.5,125.0,125.0,63.3,83.1,1,1,1,pour_4_rise,
20,light,Kinu,27,5.3,92.0,23.0,,,123.5,0.88,0.02,0.004,0.0,01:15,75,154.7,140.0,140.0,63.0,83.6,1,1,1,pour_4_end,
20,light,Kinu,27,5.3,92.0,23.0,,,123.5,0.88,0.02,0.004,0.0,01:20,80,181.5,165.0,165.0,62.3,84.3,1,1,1,pour_5_start,fifth pour start
20,light,Kinu,27,5.3,92.0,23.0,,,123.5,0.88,0.02,0.004,0.0,01:25,85,190.6,175.0,175.0,61.8,85.2,1,1,1,pour_5_rise,
20,light,Kinu,27,5.3,92.0,23.0,,,123.5,0.88,0.02,0.004,0.0,01:30,90,190.5,185.0,185.0,63.2,85.8,1,1,1,pour_5_end,
20,light,Kinu,27,5.3,92.0,23.0,,,123.5,0.88,0.02,0.004,0.0,01:35,95,228.2,215.0,215.0,62.9,86.4,1,1,1,pour_6_start,sixth pour start
20,light,Kinu,27,5.3,92.0,23.0,,,123.5,0.88,0.02,0.004,0.0,01:40,100,247.4,230.0,230.0,63.5,86.4,1,1,1,pour_6_rise,
20,light,Kinu,27,5.3,92.0,23.0,,,123.5,0.88,0.02,0.004,0.0,01:45,105,249.5,240.0,240.0,63.5,86.7,1,1,1,pour_6_end,
20,light,Kinu,27,5.3,92.0,23.0,,,123.5,0.88,0.02,0.004,0.0,01:50,110,252.5,245.0,245.0,65.5,87.2,1,1,1,pause_2,
20,light,Kinu,27,5.3,92.0,23.0,,,123.5,0.88,0.02,0.004,0.0,01:55,115,275.0,260.0,260.0,64.3,87.4,1,1,1,pour_7_start,seventh pour start
20,light,Kinu,27,5.3,92.0,23.0,,,123.5,0.88,0.02,0.004,0.0,02:00,120,299.2,275.0,275.0,64.8,87.6,1,1,1,pour_7_end,final pour end
20,light,Kinu,27,5.3,92.0,23.0,,,123.5,0.88,0.02,0.004,0.0,02:05,125,320.0,280.0,280.0,64.8,87.5,1,1,1,flow_stop_visual,visual flow stop
20,light,Kinu,27,5.3,92.0,23.0,,,123.5,0.88,0.02,0.004,0.0,02:10,130,320.0,280.0,280.0,66.6,86.3,1,1,1,drawdown,
20,light,Kinu,27,5.3,92.0,23.0,,,123.5,0.88,0.02,0.004,0.0,02:15,135,320.0,280.0,280.0,70.8,87.1,1,1,1,dripper_off_final,experiment end
