bin_index,d_lo_mm,d_hi_mm,d_mid_mm,particle_count,num_fraction,area_fraction,volume_fraction,diameter_eq_mean_mm,diameter_eq_median_mm,aspect_ratio_mean,roundness_mean,surface_to_volume_mm_inv_mean,shell_accessibility_mean,shell_accessibility_volume_weighted
1,0.25,0.4,0.325,202,0.06334274067105676,0.0016825503248567278,0.00019480723905587405,0.31276374615295466,0.31915382432114614,1.5317362232852294,0.7963810617911494,7.774906094613019,1.0,1.0
2,0.4,0.55,0.47500000000000003,146,0.04578237692066479,0.0027925439926780858,0.0004454647692761393,0.47652982918612347,0.47873073648171915,1.7879186317568523,0.6283353774162024,5.569673995467864,0.9938409497963149,0.9924008958958231
3,0.55,0.75,0.65,266,0.08341172781436187,0.009572764182217752,0.002098081091814707,0.6534216437961521,0.6482044814428575,1.7698275383631488,0.6316409866539664,4.035563866339627,0.9402716778576938,0.9338052147542136
4,0.75,1.0,0.875,446,0.1398557541549075,0.028734256022221155,0.008650313995395445,0.875099743643215,0.8740387444736631,1.6379857457722733,0.6625412686614452,2.9088117889538028,0.8403742349184019,0.8327077027809925
5,1.0,1.4,1.2,816,0.2558795860771402,0.09725587854987787,0.04000992023794513,1.1887938637035003,1.1834540545406393,1.6259294526821777,0.6669356238598151,2.13431282380519,0.7098219121787261,0.6985131985532383
6,1.4,2.0,1.7,586,0.18375666353088743,0.13549798062034066,0.07220425244632799,1.6540921953627008,1.6312788383647014,1.899144544752145,0.5780932349603697,1.6591393569190878,0.5672726780428955,0.554319030187578
7,2.0,3.0,2.5,381,0.11947318908748825,0.1860117384757009,0.13512374852349396,2.4018933668467164,2.3642169108157916,2.2340685103819236,0.5074655927026693,1.2360763358842652,0.4244036425931664,0.41197573337952276
