dose_g,roast,grinder,grinder_setting,bed_height_cm,brew_temp_C,final_coffee_temp_C,final_tds_pct,ambient_temp_C,dripper_mass_g,dripper_cp_J_gK,lambda_liquid_dripper,lambda_dripper_ambient,lambda_server_ambient,time_mmss,time_s,poured_weight_g,drained_volume_ml,retained_mass_g,phase,use_for_fit,notes
20,light,Kinu,27,5.3,92.0,,1.19,23.0,224.1,0.88,0.02,0.004,0.0,00:00,0,0.0,0.0,0.0,start,1,4/12 Kinu27 measured case start
20,light,Kinu,27,5.3,92.0,,,23.0,123.5,0.88,0.02,0.004,0.0,00:05,5,28.8,5.0,23.8,bloom_first_drip,1,first drip observed
20,light,Kinu,27,5.3,92.0,,,23.0,123.5,0.88,0.02,0.004,0.0,00:10,10,48.4,15.0,33.4,bloom_rise,1,
20,light,Kinu,27,5.3,92.0,,,23.0,123.5,0.88,0.02,0.004,0.0,00:15,15,59.4,20.0,39.4,bloom_end,1,
20,light,Kinu,27,5.3,92.0,,,23.0,123.5,0.88,0.02,0.004,0.0,00:20,20,59.4,20.0,39.4,bloom_drain,1,
20,light,Kinu,27,5.3,92.0,,,23.0,123.5,0.88,0.02,0.004,0.0,00:25,25,59.4,20.0,39.4,bloom_drain,1,
20,light,Kinu,27,5.3,92.0,,,23.0,123.5,0.88,0.02,0.004,0.0,00:30,30,59.4,25.0,34.4,pause_1,1,
20,light,Kinu,27,5.3,92.0,,,23.0,123.5,0.88,0.02,0.004,0.0,00:35,35,77.3,35.0,42.3,pour_2_start,1,second pour start
20,light,Kinu,27,5.3,92.0,,,23.0,123.5,0.88,0.02,0.004,0.0,00:40,40,79.6,40.0,39.6,pour_2_rise,1,
20,light,Kinu,27,5.3,92.0,,,23.0,123.5,0.88,0.02,0.004,0.0,00:45,45,80.8,50.0,30.8,pour_2_end,1,
20,light,Kinu,27,5.3,92.0,,,23.0,123.5,0.88,0.02,0.004,0.0,00:50,50,101.9,70.0,31.9,pour_3_start,1,third pour start
20,light,Kinu,27,5.3,92.0,,,23.0,123.5,0.88,0.02,0.004,0.0,00:55,55,109.7,80.0,29.7,pour_3_rise,1,
20,light,Kinu,27,5.3,92.0,,,23.0,123.5,0.88,0.02,0.004,0.0,01:00,60,125.4,100.0,25.4,pour_3_end,1,
20,light,Kinu,27,5.3,92.0,,,23.0,123.5,0.88,0.02,0.004,0.0,01:05,65,145.6,115.0,30.6,pour_4_start,1,fourth pour start
20,light,Kinu,27,5.3,92.0,,,23.0,123.5,0.88,0.02,0.004,0.0,01:10,70,145.5,125.0,20.5,pour_4_rise,1,
20,light,Kinu,27,5.3,92.0,,,23.0,123.5,0.88,0.02,0.004,0.0,01:15,75,154.7,140.0,14.7,pour_4_end,1,
20,light,Kinu,27,5.3,92.0,,,23.0,123.5,0.88,0.02,0.004,0.0,01:20,80,181.5,165.0,16.5,pour_5_start,1,fifth pour start
20,light,Kinu,27,5.3,92.0,,,23.0,123.5,0.88,0.02,0.004,0.0,01:25,85,190.6,175.0,15.6,pour_5_rise,1,
20,light,Kinu,27,5.3,92.0,,,23.0,123.5,0.88,0.02,0.004,0.0,01:30,90,190.5,185.0,5.5,pour_5_end,1,
20,light,Kinu,27,5.3,92.0,,,23.0,123.5,0.88,0.02,0.004,0.0,01:35,95,228.2,215.0,13.2,pour_6_start,1,sixth pour start
20,light,Kinu,27,5.3,92.0,,,23.0,123.5,0.88,0.02,0.004,0.0,01:40,100,247.4,230.0,17.4,pour_6_rise,1,
20,light,Kinu,27,5.3,92.0,,,23.0,123.5,0.88,0.02,0.004,0.0,01:45,105,249.5,240.0,9.5,pour_6_end,1,
20,light,Kinu,27,5.3,92.0,,,23.0,123.5,0.88,0.02,0.004,0.0,01:50,110,252.5,245.0,7.5,pause_2,1,
20,light,Kinu,27,5.3,92.0,,,23.0,123.5,0.88,0.02,0.004,0.0,01:55,115,275.0,260.0,15.0,pour_7_start,1,seventh pour start
20,light,Kinu,27,5.3,92.0,,,23.0,123.5,0.88,0.02,0.004,0.0,02:00,120,299.2,275.0,24.2,pour_7_end,1,final pour end
20,light,Kinu,27,5.3,92.0,,,23.0,123.5,0.88,0.02,0.004,0.0,02:05,125,320.0,280.0,40.0,flow_stop_visual,1,visual flow stop
20,light,Kinu,27,5.3,92.0,,,23.0,123.5,0.88,0.02,0.004,0.0,02:10,130,320.0,280.0,40.0,drawdown,1,
20,light,Kinu,27,5.3,92.0,,,23.0,123.5,0.88,0.02,0.004,0.0,02:15,135,320.0,280.0,40.0,dripper_off_final,1,experiment end
